"Source:","/home/michael/projects/kicad/pcbs/baconbits/baconbits.sch"
"Date:","Thu 01 Feb 2018 02:03:18 PM CST"
"Tool:","Eeschema (2017-08-02 revision 9760937)-master"
"Generator:","/usr/local/lib/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","56"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mfg Part Number"
"","","LD12","LED_Small_ALT","device:LED_Small_ALT","LEDs:LED-0603","","LTST-C191KRKT"
"","","LD13","LED_Small_ALT","device:LED_Small_ALT","LEDs:LED-0603","","LTST-C191KRKT"
"","","LD14","LED_Small_ALT","device:LED_Small_ALT","LEDs:LED-0603","","LTST-C191KRKT"
"","","LD15","LED_Small_ALT","device:LED_Small_ALT","LEDs:LED-0603","","LTST-C191KRKT"
"","","P1","~","baconbits-cache:2X18-_INCH_-0.1-TH-_35MIL-DIA_-W_O-SILK","PocketBeagle.pretty:TH-2X18-(35MIL-DIA)-W_O-SILK","",""
"","","P2","~","baconbits-cache:2X18-_INCH_-0.1-TH-_35MIL-DIA_-W_O-SILK","PocketBeagle.pretty:TH-2X18-(35MIL-DIA)-W_O-SILK","",""
"","","Q1","BC817","transistors:BC817","TO_SOT_Packages_SMD:SOT-23","","BC817-40Q-13-F"
"","","Q2","BC817","transistors:BC817","TO_SOT_Packages_SMD:SOT-23","","BC817-40Q-13-F"
"","","Q3","BC817","transistors:BC817","TO_SOT_Packages_SMD:SOT-23","","BC817-40Q-13-F"
"","","R1","4.7K","baconbits-cache:RESISTOR-_INCH_-0402","PocketBeagle.pretty:0402","","RC0402FR-074K7L"
"","","R2","4.7K","baconbits-cache:RESISTOR-_INCH_-0402","PocketBeagle.pretty:0402","","RC0402FR-074K7L"
"","","R3","4.7K","baconbits-cache:RESISTOR-_INCH_-0402","PocketBeagle.pretty:0402","","RC0402FR-074K7L"
"","","R4","100K","baconbits-cache:RESISTOR-_INCH_-0402","PocketBeagle.pretty:0402","","RC0402FR-07100KL"
"","","R5","100K","baconbits-cache:RESISTOR-_INCH_-0402","PocketBeagle.pretty:0402","","RC0402FR-07100KL"
"","","R6","100K","baconbits-cache:RESISTOR-_INCH_-0402","PocketBeagle.pretty:0402","","RC0402FR-07100KL"
"","","R7","4.7K","baconbits-cache:RESISTOR-_INCH_-0402","PocketBeagle.pretty:0402","","RC0402FR-074K7L"
"","","R8","4.7K","baconbits-cache:RESISTOR-_INCH_-0402","PocketBeagle.pretty:0402","","RC0402FR-074K7L"
"","","R9","22","baconbits-cache:RESISTOR-_INCH_-0402","PocketBeagle.pretty:0402","","RC0402FR-0722RL"
"","","R10","22","baconbits-cache:RESISTOR-_INCH_-0402","PocketBeagle.pretty:0402","","RC0402FR-0722RL"
"","","R11","4.7K","baconbits-cache:RESISTOR-_INCH_-0402","PocketBeagle.pretty:0402","","RC0402FR-074K7L"
"","","RN1","220","baconbits-cache:RESISTOR.NETWORK-_4_","RN0804","","YC124-JR-07220RL"
"","","RN2","220","baconbits-cache:RESISTOR.NETWORK-_4_","RN0804","","YC124-JR-07220RL"
"","","RN3","220","baconbits-cache:RESISTOR.NETWORK-_4_","RN0804","","YC124-JR-07220RL"
"","","RN4","220","baconbits-cache:RESISTOR.NETWORK-_4_","RN0804","","YC124-JR-07220RL"
"","","RN5","220","baconbits-cache:RESISTOR.NETWORK-_4_","RN0804","","YC124-JR-07220RL"
"","","RV1","3352T-1-502LF","device:POT_TRIM","Pin_Headers:Pin_Header_Angled_1x03","http://www.bourns.com/docs/Product-Datasheets/3352.pdf","3352T-1-502LF"
"","","SW1","BTN","baconbits-cache:MINI_PUSHBUTTON","PocketBeagle.pretty:MINI_PUSHBUTTON","","KMR231GLFS"
"","","U1","MCP23S18-E/MJ","baconbits:MCP23S18-E/MJ","Housings_DFN_QFN:QFN-24-1EP_4x4mm_Pitch0.5mm","http://ww1.microchip.com/downloads/en/DeviceDoc/22103a.pdf","MCP23S18-E/MJ"
"","","U2","MMA8452QR1","baconbits:MMA8452QR1","Housings_DFN_QFN:QFN-16-1EP_3x3mm_Pitch0.5mm","https://www.nxp.com/docs/en/data-sheet/MMA8452Q.pdf","MMA8452QR1"
"","","U3","TPD4S012DRY","baconbits-cache:TPD4S012DRYR","PocketBeagle.pretty:SON-6(TI)-DRY","http://www.ti.com/lit/ds/symlink/tpd4s012.pdf","TPD4S012DRY"
"","","U4","FT230XQ","ftdi:FT230XQ","Housings_DFN_QFN:QFN-16-1EP_4x4mm_Pitch0.65mm","","FT230XQ-R"
"","","X1","10118192-0001LF","baconbits-cache:10118192-0001LF","PocketBeagle.pretty:10118192-0001LF(MICRO-USB-B-AMPHENOL-FCI)","","10118192-0001LF"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mfg Part Number"
"1","7","C1, C2, C3, C5, C6, C7, C8","0.1uF","device:C_Small","Capacitors_SMD:C_0402","","CC0402KRX7R7BB104"
"2","1","C4","10nF","device:C_Small","Capacitors_SMD:C_0402","","CC0402KRX7R7BB103"
"3","4","FB1, FB2, FB3, FB4","~","baconbits-cache:FB-_INCH_-0603","PocketBeagle.pretty:0603","","LI0603G121R-10"
"4","1","J1","USB_A","conn:USB_A","Connect:USB_A","","292303-1"
"5","1","LD1","LED_BGR","baconbits:LED_BGR","LEDs:LED_RGB_PLLC-6","http://www.qt-brightek.com/datasheet/QBLP679E-RGB.pdf","QBLP679E-RGB"
"6","14","LD2, LD3, LD4, LD5, LD6, LD7, LD8, LD9, LD10, LD11, LD12, LD13, LD14, LD15","LED_Small_ALT","device:LED_Small_ALT","LEDs:LED-0603","","LTST-C191KRKT"
"7","2","P1, P2","~","baconbits-cache:2X18-_INCH_-0.1-TH-_35MIL-DIA_-W_O-SILK","PocketBeagle.pretty:TH-2X18-(35MIL-DIA)-W_O-SILK","",""
"8","3","Q1, Q2, Q3","BC817","transistors:BC817","TO_SOT_Packages_SMD:SOT-23","","BC817-40Q-13-F"
"9","6","R1, R2, R3, R7, R8, R11","4.7K","baconbits-cache:RESISTOR-_INCH_-0402","PocketBeagle.pretty:0402","","RC0402FR-074K7L"
"10","3","R4, R5, R6","100K","baconbits-cache:RESISTOR-_INCH_-0402","PocketBeagle.pretty:0402","","RC0402FR-07100KL"
"11","2","R9, R10","22","baconbits-cache:RESISTOR-_INCH_-0402","PocketBeagle.pretty:0402","","RC0402FR-0722RL"
"12","5","RN1, RN2, RN3, RN4, RN5","220","baconbits-cache:RESISTOR.NETWORK-_4_","RN0804","","YC124-JR-07220RL"
"13","1","RV1","3352T-1-502LF","device:POT_TRIM","Pin_Headers:Pin_Header_Angled_1x03","http://www.bourns.com/docs/Product-Datasheets/3352.pdf","3352T-1-502LF"
"14","1","SW1","BTN","baconbits-cache:MINI_PUSHBUTTON","PocketBeagle.pretty:MINI_PUSHBUTTON","","KMR231GLFS"
"15","1","U1","MCP23S18-E/MJ","baconbits:MCP23S18-E/MJ","Housings_DFN_QFN:QFN-24-1EP_4x4mm_Pitch0.5mm","http://ww1.microchip.com/downloads/en/DeviceDoc/22103a.pdf","MCP23S18-E/MJ"
"16","1","U2","MMA8452QR1","baconbits:MMA8452QR1","Housings_DFN_QFN:QFN-16-1EP_3x3mm_Pitch0.5mm","https://www.nxp.com/docs/en/data-sheet/MMA8452Q.pdf","MMA8452QR1"
"17","1","U3","TPD4S012DRY","baconbits-cache:TPD4S012DRYR","PocketBeagle.pretty:SON-6(TI)-DRY","http://www.ti.com/lit/ds/symlink/tpd4s012.pdf","TPD4S012DRY"
"18","1","U4","FT230XQ","ftdi:FT230XQ","Housings_DFN_QFN:QFN-16-1EP_4x4mm_Pitch0.65mm","","FT230XQ-R"
"19","1","X1","10118192-0001LF","baconbits-cache:10118192-0001LF","PocketBeagle.pretty:10118192-0001LF(MICRO-USB-B-AMPHENOL-FCI)","","10118192-0001LF"
